book,chapter,verse,genre,word_node,word,lex,pos,word_utf8,gloss,lex_clean
Genesis,37,1,Narrative,20166,יֵּ֣שֶׁב,JCB[,verb,יֵּ֣שֶׁב,sit,JCB[
Genesis,37,1,Narrative,20169,אֶ֖רֶץ,>RY/,subs,אֶ֖רֶץ,earth,>RY/
Genesis,37,1,Narrative,20170,מְגוּרֵ֣י,MGWRJM/,subs,מְגוּרֵ֣י,neighbourhood,MGWRJM/
Genesis,37,1,Narrative,20171,אָבִ֑יו,>B/,subs,אָבִ֑יו,father,>B/
Genesis,37,1,Narrative,20173,אֶ֖רֶץ,>RY/,subs,אֶ֖רֶץ,earth,>RY/
Genesis,37,2,Narrative,20176,תֹּלְדֹ֣ות,TWLDWT/,subs,תֹּלְדֹ֣ות,generations,TWLDWT/
Genesis,37,2,Narrative,20179,בֶּן־,BN/,subs,בֶּן,son,BN/
Genesis,37,2,Narrative,20180,שְׁבַֽע־,CB</,subs,שְׁבַֽע,seven,CB</
Genesis,37,2,Narrative,20181,עֶשְׂרֵ֤ה,<FRH/,subs,עֶשְׂרֵ֤ה,-teen,<FRH/
Genesis,37,2,Narrative,20182,שָׁנָה֙,CNH/,subs,שָׁנָה֙,year,CNH/
Genesis,37,2,Narrative,20183,הָיָ֨ה,HJH[,verb,הָיָ֨ה,be,HJH[
Genesis,37,2,Narrative,20184,רֹעֶ֤ה,R<H[,verb,רֹעֶ֤ה,pasture,R<H[
Genesis,37,2,Narrative,20186,אֶחָיו֙,>X/,subs,אֶחָיו֙,brother,>X/
Genesis,37,2,Narrative,20189,צֹּ֔אן,Y>N/,subs,צֹּ֔אן,cattle,Y>N/
Genesis,37,2,Narrative,20192,נַ֗עַר,N<R/,subs,נַ֗עַר,boy,N<R/
Genesis,37,2,Narrative,20194,בְּנֵ֥י,BN/,subs,בְּנֵ֥י,son,BN/
Genesis,37,2,Narrative,20198,בְּנֵ֥י,BN/,subs,בְּנֵ֥י,son,BN/
Genesis,37,2,Narrative,20200,נְשֵׁ֣י,>CH/,subs,נְשֵׁ֣י,woman,>CH/
Genesis,37,2,Narrative,20201,אָבִ֑יו,>B/,subs,אָבִ֑יו,father,>B/
Genesis,37,2,Narrative,20203,יָּבֵ֥א,BW>[,verb,יָּבֵ֥א,come,BW>[
