book,chapter,verse,genre,word_node,word,lex,pos,word_hebrew,lemma_hebrew
Genesis,37,1,Narrative,20165,וַ,W,conj,וַ,וַ
Genesis,37,1,Narrative,20166,יֵּ֣שֶׁב ,JCB[,verb,יֵּ֣שֶׁב,שֶׁב
Genesis,37,1,Narrative,20167,יַעֲקֹ֔ב ,J<QB/,nmpr,יַעֲקֹ֔ב,יַעֲקֹב
Genesis,37,1,Narrative,20168,בְּ,B,prep,בְּ,בְּ
Genesis,37,1,Narrative,20169,אֶ֖רֶץ ,>RY/,subs,אֶ֖רֶץ,אֶרֶץ
Genesis,37,1,Narrative,20170,מְגוּרֵ֣י ,MGWRJM/,subs,מְגוּרֵ֣י,מְגוּר
Genesis,37,1,Narrative,20171,אָבִ֑יו ,>B/,subs,אָבִ֑יו,אָב
Genesis,37,1,Narrative,20172,בְּ,B,prep,בְּ,בְּ
Genesis,37,1,Narrative,20173,אֶ֖רֶץ ,>RY/,subs,אֶ֖רֶץ,אֶרֶץ
Genesis,37,1,Narrative,20174,כְּנָֽעַן׃ ,KN<N/,nmpr,כְּנָֽעַן,כְּנָעַן
Genesis,37,2,Narrative,20175,אֵ֣לֶּה׀ ,>LH,prde,אֵ֣לֶּה,אֵלֶּה
Genesis,37,2,Narrative,20176,תֹּלְדֹ֣ות ,TWLDWT/,subs,תֹּלְדֹ֣ות,תֹּלְד
Genesis,37,2,Narrative,20177,יַעֲקֹ֗ב ,J<QB/,nmpr,יַעֲקֹ֗ב,יַעֲקֹב
Genesis,37,2,Narrative,20178,יֹוסֵ֞ף ,JWSP/,nmpr,יֹוסֵ֞ף,יֹוסֵף
Genesis,37,2,Narrative,20179,בֶּן־,BN/,subs,בֶּן,בֶּן
Genesis,37,2,Narrative,20180,שְׁבַֽע־,CB</,subs,שְׁבַֽע,שְׁבַע
Genesis,37,2,Narrative,20181,עֶשְׂרֵ֤ה ,<FRH/,subs,עֶשְׂרֵ֤ה,עֶשְׂרֵה
Genesis,37,2,Narrative,20182,שָׁנָה֙ ,CNH/,subs,שָׁנָה֙,שָׁן
Genesis,37,2,Narrative,20183,הָיָ֨ה ,HJH[,verb,הָיָ֨ה,הָיָה
Genesis,37,2,Narrative,20184,רֹעֶ֤ה ,R<H[,verb,רֹעֶ֤ה,רֹעֶה
Genesis,37,2,Narrative,20185,אֶת־,>T==,prep,אֶת,אֶת
Genesis,37,2,Narrative,20186,אֶחָיו֙ ,>X/,subs,אֶחָיו֙,אֶח
Genesis,37,2,Narrative,20187,בַּ,B,prep,בַּ,בַּ
Genesis,37,2,Narrative,20188,,H,art,,
Genesis,37,2,Narrative,20189,צֹּ֔אן ,Y>N/,subs,צֹּ֔אן,צֹּאן
Genesis,37,2,Narrative,20190,וְ,W,conj,וְ,וְ
Genesis,37,2,Narrative,20191,ה֣וּא ,HW>,prps,ה֣וּא,הוּא
Genesis,37,2,Narrative,20192,נַ֗עַר ,N<R/,subs,נַ֗עַר,נַעַר
Genesis,37,2,Narrative,20193,אֶת־,>T==,prep,אֶת,אֶת
Genesis,37,2,Narrative,20194,בְּנֵ֥י ,BN/,subs,בְּנֵ֥י,בְּן
Genesis,37,2,Narrative,20195,בִלְהָ֛ה ,BLHH=/,nmpr,בִלְהָ֛ה,בִלְהָה
Genesis,37,2,Narrative,20196,וְ,W,conj,וְ,וְ
Genesis,37,2,Narrative,20197,אֶת־,>T==,prep,אֶת,אֶת
Genesis,37,2,Narrative,20198,בְּנֵ֥י ,BN/,subs,בְּנֵ֥י,בְּן
Genesis,37,2,Narrative,20199,זִלְפָּ֖ה ,ZLPH/,nmpr,זִלְפָּ֖ה,זִלְפָּה
Genesis,37,2,Narrative,20200,נְשֵׁ֣י ,>CH/,subs,נְשֵׁ֣י,נְשׁ
Genesis,37,2,Narrative,20201,אָבִ֑יו ,>B/,subs,אָבִ֑יו,אָב
Genesis,37,2,Narrative,20202,וַ,W,conj,וַ,וַ
Genesis,37,2,Narrative,20203,יָּבֵ֥א ,BW>[,verb,יָּבֵ֥א,בֵא
Genesis,37,2,Narrative,20204,יֹוסֵ֛ף ,JWSP/,nmpr,יֹוסֵ֛ף,יֹוסֵף
Genesis,37,2,Narrative,20205,אֶת־,>T,prep,אֶת,אֶת
Genesis,37,2,Narrative,20206,דִּבָּתָ֥ם ,DBH/,subs,דִּבָּתָ֥ם,דִּבּ
Genesis,37,2,Narrative,20207,רָעָ֖ה ,R</,adjv,רָעָ֖ה,רָע
Genesis,37,2,Narrative,20208,אֶל־,>L,prep,אֶל,אֶל
Genesis,37,2,Narrative,20209,אֲבִיהֶֽם׃ ,>B/,subs,אֲבִיהֶֽם,אֲב
Genesis,37,3,Narrative,20210,וְ,W,conj,וְ,וְ
Genesis,37,3,Narrative,20211,יִשְׂרָאֵ֗ל ,JFR>L/,nmpr,יִשְׂרָאֵ֗ל,יִשְׂרָאֵל
Genesis,37,3,Narrative,20212,אָהַ֤ב ,>HB[,verb,אָהַ֤ב,אָהַב
Genesis,37,3,Narrative,20213,אֶת־,>T,prep,אֶת,אֶת
Genesis,37,3,Narrative,20214,יֹוסֵף֙ ,JWSP/,nmpr,יֹוסֵף֙,יֹוסֵף
Genesis,37,3,Narrative,20215,מִ,MN,prep,מִ,מִ
Genesis,37,3,Narrative,20216,כָּל־,KL/,subs,כָּל,כָּל
Genesis,37,3,Narrative,20217,בָּנָ֔יו ,BN/,subs,בָּנָ֔יו,בָּן
Genesis,37,3,Narrative,20218,כִּֽי־,KJ,conj,כִּֽי,כִּי
Genesis,37,3,Narrative,20219,בֶן־,BN/,subs,בֶן,בֶן
Genesis,37,3,Narrative,20220,זְקֻנִ֥ים ,ZQNJM/,subs,זְקֻנִ֥ים,זְקֻן
Genesis,37,3,Narrative,20221,ה֖וּא ,HW>,prps,ה֖וּא,הוּא
Genesis,37,3,Narrative,20222,לֹ֑ו ,L,prep,לֹ֑ו,ל
Genesis,37,3,Narrative,20223,וְ,W,conj,וְ,וְ
Genesis,37,3,Narrative,20224,עָ֥שָׂה ,<FH[,verb,עָ֥שָׂה,עָשָׂה
Genesis,37,3,Narrative,20225,לֹ֖ו ,L,prep,לֹ֖ו,ל
Genesis,37,3,Narrative,20226,כְּתֹ֥נֶת ,KTNT/,subs,כְּתֹ֥נֶת,כְּתֹן
Genesis,37,3,Narrative,20227,פַּסִּֽים׃ ,PS/,subs,פַּסִּֽים,פַּסּ
Genesis,37,4,Narrative,20228,וַ,W,conj,וַ,וַ
Genesis,37,4,Narrative,20229,יִּרְא֣וּ ,R>H[,verb,יִּרְא֣וּ,רְא
Genesis,37,4,Narrative,20230,אֶחָ֗יו ,>X/,subs,אֶחָ֗יו,אֶח
Genesis,37,4,Narrative,20231,כִּֽי־,KJ,conj,כִּֽי,כִּי
Genesis,37,4,Narrative,20232,אֹתֹ֞ו ,>T,prep,אֹתֹ֞ו,אֹת
Genesis,37,4,Narrative,20233,אָהַ֤ב ,>HB[,verb,אָהַ֤ב,אָהַב
Genesis,37,4,Narrative,20234,אֲבִיהֶם֙ ,>B/,subs,אֲבִיהֶם֙,אֲב
Genesis,37,4,Narrative,20235,מִ,MN,prep,מִ,מִ
Genesis,37,4,Narrative,20236,כָּל־,KL/,subs,כָּל,כָּל
Genesis,37,4,Narrative,20237,אֶחָ֔יו ,>X/,subs,אֶחָ֔יו,אֶח
Genesis,37,4,Narrative,20238,וַֽ,W,conj,וַֽ,וַ
Genesis,37,4,Narrative,20239,יִּשְׂנְא֖וּ ,FN>[,verb,יִּשְׂנְא֖וּ,שְׂנְא
Genesis,37,4,Narrative,20240,אֹתֹ֑ו ,>T,prep,אֹתֹ֑ו,אֹת
Genesis,37,4,Narrative,20241,וְ,W,conj,וְ,וְ
Genesis,37,4,Narrative,20242,לֹ֥א ,L>,nega,לֹ֥א,לֹא
Genesis,37,4,Narrative,20243,יָכְל֖וּ ,JKL[,verb,יָכְל֖וּ,יָכְל
Genesis,37,4,Narrative,20244,דַּבְּרֹ֥ו ,DBR[,verb,דַּבְּרֹ֥ו,דַּבְּר
Genesis,37,4,Narrative,20245,לְ,L,prep,לְ,לְ
Genesis,37,4,Narrative,20246,שָׁלֹֽם׃ ,CLWM/,subs,שָׁלֹֽם,שָׁלֹם
Genesis,37,5,Narrative,20247,וַ,W,conj,וַ,וַ
Genesis,37,5,Narrative,20248,יַּחֲלֹ֤ם ,XLM[,verb,יַּחֲלֹ֤ם,חֲלֹם
Genesis,37,5,Narrative,20249,יֹוסֵף֙ ,JWSP/,nmpr,יֹוסֵף֙,יֹוסֵף
Genesis,37,5,Narrative,20250,חֲלֹ֔ום ,XLWM/,subs,חֲלֹ֔ום,חֲלֹום
Genesis,37,5,Narrative,20251,וַ,W,conj,וַ,וַ
Genesis,37,5,Narrative,20252,יַּגֵּ֖ד ,NGD[,verb,יַּגֵּ֖ד,גֵּד
Genesis,37,5,Narrative,20253,לְ,L,prep,לְ,לְ
Genesis,37,5,Narrative,20254,אֶחָ֑יו ,>X/,subs,אֶחָ֑יו,אֶח
Genesis,37,5,Narrative,20255,וַ,W,conj,וַ,וַ
Genesis,37,5,Narrative,20256,יֹּוסִ֥פוּ ,JSP[,verb,יֹּוסִ֥פוּ,וסִף
Genesis,37,5,Narrative,20257,עֹ֖וד ,<WD/,subs,עֹ֖וד,עֹוד
Genesis,37,5,Narrative,20258,שְׂנֹ֥א ,FN>[,verb,שְׂנֹ֥א,שְׂנֹא
Genesis,37,5,Narrative,20259,אֹתֹֽו׃ ,>T,prep,אֹתֹֽו,אֹת
Genesis,37,6,Narrative,20260,וַ,W,conj,וַ,וַ
Genesis,37,6,Narrative,20261,יֹּ֖אמֶר ,>MR[,verb,יֹּ֖אמֶר,אמֶר
Genesis,37,6,Narrative,20262,אֲלֵיהֶ֑ם ,>L,prep,אֲלֵיהֶ֑ם,אֲלֵי
Genesis,37,6,Narrative,20263,שִׁמְעוּ־,CM<[,verb,שִׁמְעוּ,שִׁמְע
Genesis,37,6,Narrative,20264,נָ֕א ,N>,intj,נָ֕א,נָא
Genesis,37,6,Narrative,20265,הַ,H,art,הַ,הַ
Genesis,37,6,Narrative,20266,חֲלֹ֥ום ,XLWM/,subs,חֲלֹ֥ום,חֲלֹום
Genesis,37,6,Narrative,20267,הַ,H,art,הַ,הַ
Genesis,37,6,Narrative,20268,זֶּ֖ה ,ZH,prde,זֶּ֖ה,זֶּה
Genesis,37,6,Narrative,20269,אֲשֶׁ֥ר ,>CR,conj,אֲשֶׁ֥ר,אֲשֶׁר
Genesis,37,6,Narrative,20270,חָלָֽמְתִּי׃ ,XLM[,verb,חָלָֽמְתִּי,חָלָםְ
Genesis,37,7,Narrative,20271,וְ֠,W,conj,וְ֠,וְ
