genre,lex_clean,frequency
Law,KL/,126
Law,>LHJM/,82
Law,>KL[,72
Law,KHN/,62
Law,MZBX/,56
Law,<FH[,49
Law,QRB[,49
Law,BN/,48
Law,NTN[,39
Law,PNH/,39
Law,DM/,38
Law,XV>T/,38
Law,<LH/,35
Law,XLB=/,34
Law,BW>[,32
Law,JD/,32
Law,QRBN/,32
Law,MQWM/,31
Law,HJH[,30
Law,NPC/,27
Law,ZBX/,26
Law,JWM/,25
Law,MNXH/,25
Law,>MR[,24
Law,XV>[,24
Law,>CH=/,23
Law,CLM/,22
Law,QVR[,22
Law,>XD/,20
Law,BFR/,20
Law,QDC/,20
Law,>RY/,19
Law,CM,19
Law,QRB/,19
Law,>C/,18
Law,>HL/,18
Law,DBR[,18
Law,MW<D/,18
Law,BXR[,17
Law,PR/,17
Law,CMN/,16
Law,CXV[,16
Law,VM>/,16
Law,Y>N/,16
Law,>CM/,15
Law,C<R/,15
Law,R>C/,15
Law,YWH[,14
Law,<M/,13
Law,>CM[,13
Law,BQR/,13
Law,CNH/,13
Law,JY>[,13
Law,KPR[,13
Law,CMR[,12
Law,DBR/,12
Law,JD<[,12
Law,TMJM/,12
Law,BRK[,11
Law,NJXX/,11
Law,RJX/,11
Law,SWR[,11
Law,<JN/,10
Law,CB</,10
Law,CM<[,10
Law,CNJM/,10
Law,FRP[,10
Law,KLJH/,10
Law,<BD/,9
Law,<BD[,9
Law,<Y/,9
Law,>X/,9
Law,BHMH/,9
Law,CM/,9
Law,CPK[,9
Law,MYH/,9
Law,SLT/,9
Law,SLX[,9
Law,SMK[,9
Law,ZKR=/,9
Law,<WLM/,8
Law,KN,8
Law,MYWH/,8
Law,NG<[,8
Law,SBJB/,8
Law,VHR/,8
Law,<Z==/,7
Law,BQR=/,7
Law,BT/,7
Law,FJM[,7
Law,HLK[,7
Law,LQX[,7
Law,LWJ/,7
Law,MJM/,7
Law,RWM[,7
Law,TWRH/,7
Law,ZBX[,7
Law,ZRQ[,7
Law,<LH[,6
Law,>BJWN/,6
Law,>XR/,6
Law,BJT/,6
Law,BKR/,6
Law,CKN[,6
Law,FMX[,6
Law,JCB[,6
Law,JRC[,6
Law,JSWD/,6
Law,KSH[,6
Law,LBNH=/,6
Law,NBLH=/,6
Law,PTX/,6
Law,QDWC/,6
Law,RQ,6
Law,TRWMH/,6
Law,XG/,6
Law,>DM/,5
Law,>JC/,5
Law,>MH/,5
Law,>YB</,5
Law,>ZKRH/,5
Law,BLL[,5
Law,CGGH/,5
Law,DCN/,5
Law,GWJ/,5
Law,JTRT/,5
Law,JTR[,5
Law,KBD=/,5
Law,KFB/,5
Law,KRT[,5
Law,KSL=/,5
Law,M<FR/,5
Law,NDR/,5
Law,NF>[,5
Law,NQBH/,5
Law,NXLH/,5
Law,NZH[,5
Law,PRSH/,5
Law,QRN/,5
Law,R>H[,5
Law,XQ/,5
Law,<BV[,4
Law,<JR/,4
Law,<LM[,4
Law,<RK[,4
Law,<WP/,4
Law,>JL/,4
Law,>JL=/,4
Law,>JN/,4
Law,>XR=/,4
Law,BCL[,4
Law,CB<[,4
Law,CBW</,4
Law,CLX[,4
Law,CMVH/,4
Law,CWR/,4
Law,GR/,4
Law,GRH=/,4
Law,JCR/,4
Law,JSP[,4
Law,JVB[,4
Law,KSP/,4
Law,LBB/,4
Law,LXM/,4
Law,MCJX/,4
Law,MCPV/,4
Law,MCX[,4
Law,MJN/,4
Law,MWT[,4
Law,NDBH/,4
Law,PRS[,4
Law,PSX/,4
Law,PTX[,4
Law,QWL/,4
Law,R>CWN/,4
Law,TWDH/,4
Law,VM>H/,4
Law,XLH/,4
Law,XLQ/,4
