genre,word1,word2,pair_count,word1_count,word2_count,pmi
Law,JTRT/,KBD=/,5,5,5,5.8875252707415875
Law,JTRT/,KLJH/,5,5,5,5.8875252707415875
Law,JTRT/,KSL=/,5,5,5,5.8875252707415875
Law,KBD=/,KLJH/,5,5,5,5.8875252707415875
Law,KBD=/,KSL=/,5,5,5,5.8875252707415875
Law,KLJH/,KSL=/,5,5,5,5.8875252707415875
Law,JSWD/,QRN/,5,6,5,5.624490864907793
Law,>MH/,FMX[,4,5,6,5.302562770020431
Law,CNJM/,JTRT/,5,8,5,5.209453365628949
Law,CNJM/,KBD=/,5,8,5,5.209453365628949
Law,CNJM/,KLJH/,5,8,5,5.209453365628949
Law,CNJM/,KSL=/,5,8,5,5.209453365628949
Law,M<FR/,NDR/,3,5,5,5.150559676575381
Law,>YB</,QRN/,3,5,5,5.150559676575381
Law,>MH/,BT/,4,5,7,5.080170348683983
Law,>MH/,LWJ/,4,5,7,5.080170348683983
Law,CKN[,CM/,6,6,9,5.039528364186637
Law,<BD/,>MH/,5,9,5,5.039528364186637
Law,JTRT/,SWR[,5,5,9,5.039528364186637
Law,KBD=/,SWR[,5,5,9,5.039528364186637
Law,KLJH/,SWR[,5,5,9,5.039528364186637
Law,KSL=/,SWR[,5,5,9,5.039528364186637
Law,CPK[,QRN/,5,9,5,5.039528364186637
Law,SBJB/,ZRQ[,6,8,7,4.987060944292502
Law,M<FR/,TRWMH/,3,5,6,4.8875252707415875
Law,NDR/,TRWMH/,3,5,6,4.8875252707415875
Law,>ZKRH/,LBNH=/,3,5,6,4.8875252707415875
Law,>YB</,JSWD/,3,5,6,4.8875252707415875
Law,BT/,FMX[,4,7,6,4.817135942850189
Law,FMX[,LWJ/,4,6,7,4.817135942850189
Law,CPK[,JSWD/,5,9,6,4.776493958352844
Law,NJXX/,RJX/,11,11,11,4.750021746991653
Law,LWJ/,NXLH/,3,7,5,4.66513284940514
Law,<Z==/,KFB/,3,7,5,4.66513284940514
Law,>YB</,LQX[,3,5,7,4.66513284940514
Law,LQX[,QRN/,3,7,5,4.66513284940514
Law,BT/,LWJ/,4,7,7,4.594743521513742
Law,CMN/,LBNH=/,6,13,6,4.5090136474878575
Law,KPR[,SLX[,9,13,9,4.5090136474878575
Law,CGGH/,MYWH/,3,5,8,4.472487771462744
Law,<WLM/,XQ/,3,8,5,4.472487771462744
Law,<BD/,FMX[,4,9,6,4.454565863465481
Law,LBNH=/,SLT/,4,6,9,4.454565863465481
Law,CXV[,SMK[,8,12,9,4.454565863465481
Law,<M/,KRT[,4,11,5,4.42809365210429
Law,CXV[,ZRQ[,6,12,7,4.4020984435713455
Law,JSWD/,LQX[,3,6,7,4.4020984435713455
Law,CNJM/,SWR[,5,8,9,4.361456459074
Law,CMN/,SLT/,8,13,9,4.339088646045545
Law,CKN[,M<FR/,2,6,5,4.302562770020431
Law,<BD[,>XR/,3,9,5,4.302562770020431
Law,R>C/,SMK[,9,15,9,4.302562770020431
Law,NQBH/,TMJM/,4,5,12,4.302562770020431
Law,PTX/,QRN/,2,6,5,4.302562770020431
Law,>YB</,CPK[,3,5,9,4.302562770020431
Law,<BD/,BT/,4,9,7,4.232173442129033
Law,<BD/,LWJ/,4,9,7,4.232173442129033
Law,<BD[,HLK[,4,9,7,4.232173442129033
Law,CKN[,CM,6,6,16,4.209453365628949
Law,>HL/,PTX/,6,16,6,4.209453365628949
Law,MW<D/,PTX/,6,16,6,4.209453365628949
Law,CXV[,SBJB/,6,12,8,4.209453365628949
Law,BXR[,CKN[,6,17,6,4.12199052437861
Law,>HL/,MW<D/,15,16,16,4.116343961237468
Law,C<R/,LWJ/,6,15,7,4.080170348683984
Law,>XR/,HLK[,2,5,7,4.080170348683983
Law,>ZKRH/,RWM[,2,5,7,4.080170348683983
Law,<Z==/,NQBH/,2,7,5,4.080170348683983
Law,CM,CM/,8,16,9,4.039528364186637
Law,BJT/,FMX[,2,6,6,4.039528364186637
Law,KSH[,QRB/,5,6,15,4.039528364186637
Law,JSWD/,PTX/,2,6,6,4.039528364186637
Law,>ZKRH/,NJXX/,3,5,11,4.013056152825446
Law,>ZKRH/,RJX/,3,5,11,4.013056152825446
Law,>MH/,C<R/,4,5,15,3.980634675133069
Law,BXR[,CM/,8,17,9,3.952065522936298
Law,>C/,FRP[,7,17,8,3.9293454464362143
Law,>RY/,JRC[,4,16,5,3.8875252707415875
Law,VHR/,VM>/,4,8,10,3.8875252707415875
Law,>XR/,CMR[,3,5,12,3.8875252707415875
Law,NG<[,VM>/,4,8,10,3.8875252707415875
Law,>DM/,BHMH/,2,5,8,3.8875252707415875
Law,>DM/,NG<[,2,5,8,3.8875252707415875
Law,BHMH/,KRT[,2,8,5,3.8875252707415875
Law,CM/,FJM[,3,9,7,3.8171359428501894
Law,CPK[,MJM/,3,9,7,3.8171359428501894
Law,MJM/,RQ,2,7,6,3.8171359428501894
Law,CM/,ZBX[,3,9,7,3.8171359428501894
