node,degree,degree_centrality,betweenness_centrality,eigenvector_centrality
JTRT/,5,0.04761904761904762,0.0016483516483516484,0.46386934462897284
KBD=/,5,0.04761904761904762,0.0016483516483516484,0.46386934462897284
KLJH/,4,0.0380952380952381,0.0,0.42795165477436614
KSL=/,4,0.0380952380952381,0.0,0.42795165477436614
CNJM/,4,0.0380952380952381,0.0,0.39589903740543275
>MH/,4,0.0380952380952381,0.001098901098901099,4.839115565903129e-09
XWY/,4,0.0380952380952381,0.0031135531135531138,0.015510223286070305
MR>H/,4,0.0380952380952381,0.001098901098901099,3.811657959022989e-05
BFR/,3,0.028571428571428574,0.0,3.5649307070360584e-05
SWR[,3,0.028571428571428574,0.004578754578754579,0.2092375570591471
PRH/,3,0.028571428571428574,0.0,3.5668387655272965e-05
BGD/,3,0.028571428571428574,0.004395604395604396,0.04901516392163981
BRJ>/,3,0.028571428571428574,0.0,3.479958648710491e-05
PC</,3,0.028571428571428574,0.0003663003663003663,1.1473585595915658e-08
>YL/,2,0.01904761904761905,0.0,0.013381147692833426
RWX/,2,0.01904761904761905,0.0003663003663003663,3.879223629509529e-11
DQ/,2,0.01904761904761905,0.0007326007326007326,1.322283456761745e-05
QRN/,2,0.01904761904761905,0.00018315018315018315,6.6176780032238995e-12
NKRJ/,2,0.01904761904761905,0.00018315018315018315,3.183263749641039e-11
CMJR/,2,0.01904761904761905,0.0,3.243534185773586e-09
CLC/,2,0.01904761904761905,0.0,9.200704550853523e-09
KSP/,2,0.01904761904761905,0.0003663003663003663,1.5094558871085693e-11
>KL[,2,0.01904761904761905,0.00018315018315018315,6.91366350636266e-12
NYX/,2,0.01904761904761905,0.00018315018315018315,6.91366350636266e-12
CNH/,2,0.01904761904761905,0.00018315018315018315,2.2925833125383356e-11
NB>[,2,0.01904761904761905,0.0003663003663003663,4.163957099642468e-11
CJT/,2,0.01904761904761905,0.0,3.243534185773586e-09
>BJWN/,2,0.01904761904761905,0.0003663003663003663,1.3959913650627264e-11
CM,2,0.01904761904761905,0.0,2.9349449158474257e-09
>RB</,2,0.01904761904761905,0.0,9.200704550853523e-09
LWJ/,1,0.009523809523809525,0.0,2.4122518205699043e-09
<ZB[,1,0.009523809523809525,0.0,0.003561314386774403
BT/,1,0.009523809523809525,0.0,2.4122518205699043e-09
